D:\software\anaconda\envs\POP-net\python.exe E:\POPnet\POP_Net_Superpoint-master\train_POP_net.py 
E:\POPnet\POP_Net_Superpoint-master\train_POP_net.py:17: DeprecationWarning: Please use `maximum_filter` from the `scipy.ndimage` namespace, the `scipy.ndimage.filters` namespace is deprecated.
  from scipy.ndimage.filters import maximum_filter
E:\POPnet\POP_Net_Superpoint-master\train_POP_net.py:18: DeprecationWarning: Please use `binary_dilation` from the `scipy.ndimage` namespace, the `scipy.ndimage.morphology` namespace is deprecated.
  from scipy.ndimage.morphology import binary_dilation
  loss_det_foreground:0.2932  loss_det_background:0.2161  repeatability:2.7849  point_number:372.72 

## ep:0 iter:238/4999 ##  loss_detection:0.635  loss_description:0.1876  loss_informativeness:0.0000 
  loss_det_foreground:0.2935  loss_det_background:0.2336  repeatability:2.5282  point_number:341.60 

## ep:0 iter:242/4999 ##  loss_detection:0.584  loss_description:0.1874  loss_informativeness:0.0000 
  loss_det_foreground:0.2642  loss_det_background:0.2286  repeatability:3.0341  point_number:378.40 

## ep:0 iter:246/4999 ##  loss_detection:0.601  loss_description:0.1877  loss_informativeness:0.0000 
  loss_det_foreground:0.2913  loss_det_background:0.2005  repeatability:2.6578  point_number:288.68 

## ep:0 iter:250/4999 ##  loss_detection:0.563  loss_description:0.1876  loss_informativeness:0.0000 
  loss_det_foreground:0.2801  loss_det_background:0.1966  repeatability:2.3513  point_number:336.83 

## ep:0 iter:254/4999 ##  loss_detection:0.623  loss_description:0.1874  loss_informativeness:0.0000 
  loss_det_foreground:0.3062  loss_det_background:0.2037  repeatability:2.3793  point_number:328.83 

## ep:0 iter:258/4999 ##  loss_detection:0.519  loss_description:0.1875  loss_informativeness:0.0000 
  loss_det_foreground:0.2092  loss_det_background:0.2200  repeatability:2.9935  point_number:325.36 

## ep:0 iter:262/4999 ##  loss_detection:0.604  loss_description:0.1876  loss_informativeness:0.0000 
  loss_det_foreground:0.2316  loss_det_background:0.2452  repeatability:2.6029  point_number:336.38 

## ep:0 iter:266/4999 ##  loss_detection:0.732  loss_description:0.1876  loss_informativeness:0.0000 
  loss_det_foreground:0.3350  loss_det_background:0.1917  repeatability:2.0677  point_number:327.26 

## ep:0 iter:270/4999 ##  loss_detection:0.626  loss_description:0.1869  loss_informativeness:0.0000 
  loss_det_foreground:0.2697  loss_det_background:0.2307  repeatability:2.7799  point_number:371.15 

## ep:0 iter:274/4999 ##  loss_detection:0.557  loss_description:0.1872  loss_informativeness:0.0000 
  loss_det_foreground:0.2330  loss_det_background:0.1944  repeatability:2.4882  point_number:348.00 

## ep:0 iter:278/4999 ##  loss_detection:0.604  loss_description:0.1869  loss_informativeness:0.0000 
  loss_det_foreground:0.2685  loss_det_background:0.1983  repeatability:2.6661  point_number:341.52 

## ep:0 iter:282/4999 ##  loss_detection:0.578  loss_description:0.1874  loss_informativeness:0.0000 
  loss_det_foreground:0.2746  loss_det_background:0.1885  repeatability:2.5796  point_number:302.47 

## ep:0 iter:286/4999 ##  loss_detection:0.729  loss_description:0.1879  loss_informativeness:0.0000 
  loss_det_foreground:0.3125  loss_det_background:0.1778  repeatability:2.4910  point_number:299.35 

## ep:0 iter:290/4999 ##  loss_detection:0.751  loss_description:0.1877  loss_informativeness:0.0000 
  loss_det_foreground:0.3066  loss_det_background:0.2042  repeatability:2.3694  point_number:383.67 

## ep:0 iter:294/4999 ##  loss_detection:0.534  loss_description:0.1869  loss_informativeness:0.0000 
  loss_det_foreground:0.2026  loss_det_background:0.1982  repeatability:2.5233  point_number:337.36 

## ep:0 iter:298/4999 ##  loss_detection:0.738  loss_description:0.1868  loss_informativeness:0.0000 
